feature,score,rank,selected,method,model,lookback
lag_1,0.4484779394956117,1,True,importance,decision_tree,12
lag_2,0.2413159425552077,2,True,importance,decision_tree,12
lag_3,0.09650474601364799,3,True,importance,decision_tree,12
lag_4,0.059784457738099005,4,True,importance,decision_tree,12
lag_5,0.037032151771831286,5,True,importance,decision_tree,12
lag_6,0.0297913660310973,6,True,importance,decision_tree,12
lag_7,0.027279510877284995,7,False,importance,decision_tree,12
lag_11,0.014816574719590051,8,False,importance,decision_tree,12
lag_12,0.013247877430043258,9,False,importance,decision_tree,12
lag_10,0.011750480692605855,10,False,importance,decision_tree,12
lag_8,0.011366809535017449,11,False,importance,decision_tree,12
lag_9,0.008632143139963327,12,False,importance,decision_tree,12
lag_1,0.4484779394956117,1,True,importance,random_forest,12
lag_2,0.2413159425552077,2,True,importance,random_forest,12
lag_3,0.09650474601364799,3,True,importance,random_forest,12
lag_4,0.059784457738099005,4,True,importance,random_forest,12
lag_5,0.037032151771831286,5,True,importance,random_forest,12
lag_6,0.0297913660310973,6,True,importance,random_forest,12
lag_7,0.027279510877284995,7,False,importance,random_forest,12
lag_11,0.014816574719590051,8,False,importance,random_forest,12
lag_12,0.013247877430043258,9,False,importance,random_forest,12
lag_10,0.011750480692605855,10,False,importance,random_forest,12
lag_8,0.011366809535017449,11,False,importance,random_forest,12
lag_9,0.008632143139963327,12,False,importance,random_forest,12
lag_1,0.450487387858063,1,True,importance,gradient_boosting,6
lag_2,0.249291988388751,2,True,importance,gradient_boosting,6
lag_3,0.10223853604522731,3,True,importance,gradient_boosting,6
lag_4,0.08236537713849584,4,True,importance,gradient_boosting,6
lag_6,0.07015089053963539,5,True,importance,gradient_boosting,6
lag_5,0.04546582002982747,6,True,importance,gradient_boosting,6
