split,timestamp,actual,mlp_pred,lstm_pred
validation,1989,-0.14330511941344629,-0.3255338668823242,-0.24191893637180328
validation,1990,-0.23690808038121833,-0.36845773458480835,-0.3935047388076782
validation,1991,-0.369065211867057,-0.31290948390960693,-0.5126577615737915
validation,1992,-0.3997732984385105,-0.3104632496833801,-0.6358826160430908
validation,1993,-0.5694833103478806,-0.3119392693042755,-0.7219614386558533
validation,1994,-0.2554459872927521,-0.30894291400909424,-0.6778241395950317
validation,1995,-0.2972604317933255,-0.32050228118896484,-0.34918200969696045
validation,1997,-0.1603718159228105,-0.3246268033981323,0.18441882729530334
validation,1998,-0.30891814402890455,-0.3223961591720581,0.46520721912384033
validation,1999,-0.34410431233104516,-0.3201960027217865,0.347282350063324
validation,2000,-0.13043395123985896,-0.31725919246673584,0.1203463226556778
validation,2001,-0.37329893200476777,-0.31643909215927124,-0.03178964555263519
test,2002,-0.40486465977504116,-0.38480907678604126,-0.4700307846069336
test,2003,-0.285335286345185,-0.3334101140499115,-0.569478452205658
test,2004,-0.4422124602210374,-0.31280529499053955,-0.6034245491027832
test,2005,-0.42268504847810257,-0.2944228947162628,-0.5830566883087158
test,2006,-0.3432666206929941,-0.29817962646484375,-0.4637647867202759
test,2007,-0.5636685637550999,-0.3178708553314209,-0.11839456856250763
test,2008,-0.6096214792879504,-0.32821476459503174,0.18008939921855927
test,2009,-1.2889677694188364,-0.3290441632270813,0.20504745841026306
test,2010,-0.2545911146437557,-0.3235350251197815,0.040823742747306824
test,2011,-0.4753775338291554,-0.31646478176116943,-0.13140331208705902
test,2012,-0.844159771320869,-0.31383275985717773,-0.2671723961830139
test,2013,-0.9721733171152775,-0.3155197203159332,-0.392314076423645
test,2014,-0.8433195988147839,-0.31862524151802063,-0.5315893888473511
