family,model,timestamp,predicted_value,previous_observed,expected_change,expected_change_pct,uncertainty_margin,scenario_low,scenario_high,uncertainty_ratio,recommendation
ml,random_forest,2002,294621.0811527912,285492.0,9129.081152791216,3.1976661877710115,2283.4288759078713,292337.65227688337,296904.51002869906,0.0077503920187017425,low_uncertainty_stable
ml,random_forest,2003,304681.61351742496,290960.0,13721.613517424965,4.715979350228542,2283.4288759078713,302398.1846415171,306965.0423933328,0.007494475460946318,low_uncertainty_stable
ml,random_forest,2004,312239.79114957975,299789.0,12450.791149579745,4.153184789828761,2283.4288759078713,309956.3622736719,314523.2200254876,0.007313061757762916,low_uncertainty_stable
ml,random_forest,2005,323057.3374118644,304490.0,18567.337411864428,6.097848012041259,2283.4288759078713,320773.9085359566,325340.7662877723,0.007068184534056063,low_uncertainty_increase
ml,random_forest,2006,333211.1017342061,309817.0,23394.10173420608,7.5509419219107015,2283.4288759078713,330927.67285829823,335494.5306101139,0.006852799513652771,low_uncertainty_increase
ml,random_forest,2007,343548.1045760918,317533.0,26015.104576091806,8.192882181093559,2283.4288759078713,341264.67570018396,345831.53345199965,0.006646605949770621,low_uncertainty_increase
ml,random_forest,2008,355262.4467174787,318953.0,36309.446717478684,11.383948957206448,2283.4288759078713,352979.01784157084,357545.87559338653,0.006427442295142894,low_uncertainty_increase
ml,random_forest,2009,365666.54592548026,319037.0,46629.545925480255,14.615717275889711,2283.4288759078713,363383.1170495724,367949.9748013881,0.006244565988744332,low_uncertainty_increase
ml,random_forest,2010,377575.57557512866,299915.0,77660.57557512866,25.894195213686764,2283.4288759078713,375292.1466992208,379859.0044510365,0.006047607482103997,low_uncertainty_increase
ml,random_forest,2011,389962.96775323246,309885.0,80077.96775323246,25.84118874848168,2283.4288759078713,387679.5388773246,392246.3966291403,0.005855501841787241,low_uncertainty_increase
ml,random_forest,2012,401737.17798200966,313792.0,87945.17798200966,28.026583845990228,2283.4288759078713,399453.7491061018,404020.6068579175,0.005683887379748872,low_uncertainty_increase
ml,random_forest,2013,415416.34073107835,307220.0,108196.34073107835,35.21787016830882,2283.4288759078713,413132.9118551705,417699.7696069862,0.0054967237732857005,low_uncertainty_increase
ml,random_forest,2014,428081.98479192954,297288.0,130793.98479192954,43.995716205137626,2283.4288759078713,425798.5559160217,430365.4136678374,0.005334092433293446,low_uncertainty_increase
