order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(2, 0, 2)","(0, 0, 0, 0)",0.01300236590227307,0.010280981492889326,97.81585910369591,0.007099964789044064,0.007099964789044064,16675.810025361377,14295.104546096773,5.589320525160871,14220.655660540278,14220.655660540278,-97.78829926211176,-96.61182867387647,5,16675.810025361377,14220.655660540278
"(1, 0, 2)","(0, 0, 0, 0)",0.013110353045176269,0.010384381890379102,98.63868004572112,0.0072839899092804195,0.0072839899092804195,17040.28737227005,14599.338520182084,5.706416557036149,14527.570685975661,14527.570685975661,-99.78309364837826,-99.01386287914748,4,17040.28737227005,14527.570685975661
"(2, 1, 0)","(0, 0, 0, 0)",0.020465056724933768,0.017069135708178047,143.2541973712012,0.017069135708178047,0.017069135708178047,37041.01861515134,30870.455728326866,11.950665225002362,30870.455728326866,30870.455728326866,-86.66715468381001,-86.21432449513077,3,37041.01861515134,30870.455728326866
"(1, 0, 0)","(0, 0, 0, 0)",0.026793551559651026,0.024480914373596115,84.70250702980286,-0.024480914373596115,0.024480914373596115,39699.48468781957,32812.617519612824,12.673483783209003,-32812.617519612824,32812.617519612824,-102.3574401973082,-102.13521797508596,2,39699.48468781957,32812.617519612824
"(1, 0, 1)","(0, 0, 0, 0)",0.027753680236310287,0.025790879863954567,91.69197213900561,-0.025790879863954567,0.025790879863954567,42330.882780647546,35562.10176584595,13.780903934962064,-35562.10176584595,35562.10176584595,-99.4248517468392,-98.97202155815995,3,42330.882780647546,35562.10176584595
"(0, 0, 2)","(0, 0, 0, 0)",0.028119272140842227,0.026227228297463295,94.11302170195647,-0.026227228297463295,0.026227228297463295,43210.27672880736,36438.87965540177,14.131282182842378,-36438.87965540177,36438.87965540177,-97.57057117459232,-97.11774098591307,3,43210.27672880736,36438.87965540177
"(2, 0, 1)","(0, 0, 0, 0)",0.028396808973683237,0.026609699418442018,95.89594227283028,-0.026609699418442018,0.026609699418442018,43998.17010166165,37310.814227551855,14.48683096732192,-37310.814227551855,37310.814227551855,-97.7058414612514,-96.93661069202062,4,43998.17010166165,37310.814227551855
"(2, 0, 0)","(0, 0, 0, 0)",0.028438949696785606,0.026670740010353303,96.39390052567136,-0.026670740010353303,0.026670740010353303,44119.44389797374,37429.521317695246,14.534171485759288,-37429.521317695246,37429.521317695246,-99.6895604252537,-99.23673023657446,3,44119.44389797374,37429.521317695246
"(0, 0, 1)","(0, 0, 0, 0)",0.02915707372380383,0.02734652187767762,96.97893603477056,-0.02734652187767762,0.02734652187767762,45567.063243876124,39128.19589056686,15.234349623963533,-39128.19589056686,39128.19589056686,-99.18063636886302,-98.95841414664079,2,45567.063243876124,39128.19589056686
"(0, 1, 0)","(0, 0, 0, 0)",0.02382545116675315,0.021141073013133244,164.73785469278218,0.021141073013133244,0.021141073013133244,46766.16502848929,39204.239252338884,15.192051474589787,39204.239252338884,39204.239252338884,-86.40366685214605,-86.33093957941877,1,46766.16502848929,39204.239252338884
"(1, 1, 0)","(0, 0, 0, 0)",0.023967932193284552,0.02130268887915374,165.59232549764587,0.02130268887915374,0.02130268887915374,47155.7100315852,39532.1699325844,15.319133586744307,39532.1699325844,39532.1699325844,-85.51745330457264,-85.29523108235041,2,47155.7100315852,39532.1699325844
"(0, 0, 0)","(0, 0, 0, 0)",0.03067656447092031,0.028641655898111445,100.0,-0.028641655898111445,0.028641655898111445,48317.36840498809,42299.250000000095,16.541566125998628,-42299.250000000095,42299.250000000095,-88.25580990991925,-88.18308263719197,1,48317.36840498809,42299.250000000095
"(2, 1, 1)","(0, 0, 0, 0)",0.029250505458633464,0.027088438983165694,195.8095932560399,0.027088438983165694,0.027088438983165694,61534.059986578526,51564.73209101419,19.976464921379396,51564.73209101419,51564.73209101419,-101.73568446274967,-100.9664536935189,4,61534.059986578526,51564.73209101419
"(1, 1, 2)","(0, 0, 0, 0)",0.029419271088871542,0.027179300555974565,197.4469670102613,0.027179300555974565,0.027179300555974565,61547.35568754473,51399.54518716735,19.897957504896954,51399.54518716735,51399.54518716735,-96.60334123624737,-95.8341104670166,4,61547.35568754473,51399.54518716735
"(0, 1, 2)","(0, 0, 0, 0)",0.02944013803886503,0.027206407558940413,197.56169873641682,0.027206407558940413,0.027206407558940413,61625.069813359856,51471.5605056587,19.92641286246869,51471.5605056587,51471.5605056587,-98.5945951628902,-98.14176497421096,3,61625.069813359856,51471.5605056587
"(2, 1, 2)","(0, 0, 0, 0)",0.029211523012161348,0.027126836666087357,195.21248773326488,0.027126836666087357,0.027126836666087357,61764.37571036874,51877.12359320351,20.107349518246988,51877.12359320351,51877.12359320351,-97.64023583532186,-96.46376524708657,5,61764.37571036874,51877.12359320351
"(1, 1, 1)","(0, 0, 0, 0)",0.03035182578519251,0.02818507110590469,202.89667141580972,0.02818507110590469,0.02818507110590469,64063.52091339026,53456.079533435346,20.69006119729003,53456.079533435346,53456.079533435346,-98.79455456634399,-98.34172437766475,3,64063.52091339026,53456.079533435346
"(0, 1, 1)","(0, 0, 0, 0)",0.030208990384388956,0.028140290419457228,201.95875120052767,0.028140290419457228,0.028140290419457228,64170.58159555096,53735.85691291144,20.81419607396428,53735.85691291144,53735.85691291144,-95.1788779545559,-94.95665573233367,2,64170.58159555096,53735.85691291144
