scale,split,timestamp,actual,statistical_pred,ml_pred,neural_pred,statistical_error,ml_error,neural_error
original,validation,1975,147333.0,152563.82167908203,150535.8795834907,155447.46130769467,5230.82167908203,3202.8795834906923,8114.46130769467
original,validation,1976,163550.0,156749.6923496256,162637.22516461348,163529.5765068078,-6800.307650374394,-912.7748353865172,-20.423493192211026
original,validation,1977,166545.0,160944.254297702,169648.0043200638,171685.80478017553,-5600.745702298009,3103.004320063803,5140.804780175531
original,validation,1978,175041.0,165144.78906550206,175832.14089564446,179827.88028081707,-9896.21093449794,791.1408956444648,4786.880280817073
original,validation,1979,181264.0,169348.63322631177,180748.47243741856,187576.19635741995,-11915.366773688234,-515.5275625814393,6312.196357419947
original,validation,1980,185741.0,173553.18212068535,186706.1096429461,195020.19928484407,-12187.81787931465,965.1096429461031,9279.199284844071
original,validation,1981,181656.0,177755.89323790342,188474.86223073117,203204.416308718,-3900.106762096577,6818.862230731174,21548.416308718006
original,validation,1982,184444.0,181954.28925024,192789.15706158767,211319.66392917157,-2489.710749760008,8345.15706158767,26875.66392917157
original,validation,1983,182880.0,186145.96070876092,193819.29533865588,219373.97386649574,3265.9607087609184,10939.29533865588,36493.97386649574
original,validation,1984,182669.0,190328.56841045336,195441.93987770585,227352.34288684907,7659.5684104533575,12772.939877705852,44683.342886849074
original,validation,1985,185740.0,194499.84544737873,198942.56468782146,235253.57317358363,8759.845447378728,13202.564687821461,49513.57317358363
original,validation,1986,192330.0,198657.59894933112,201937.89422644197,243119.6696140084,6327.598949331121,9607.894226441975,50789.669614008395
original,validation,1987,201372.0,202799.71153211512,206062.8337667343,250972.30881437712,1427.7115321151214,4690.833766734286,49600.30881437712
original,validation,1988,203561.0,206924.14246408484,210183.21060288028,258710.27408190246,3363.142464084842,6622.210602880281,55149.27408190246
original,validation,1989,210750.0,211028.92856397817,214164.52846694068,266331.1473439258,278.92856397817377,3414.528466940683,55581.14734392578
original,validation,1990,216891.0,215112.184843389,218646.23521182433,273827.2969512444,-1778.8151566110027,1755.2352118243289,56936.29695124441
original,validation,1991,222041.0,219172.10490740114,222419.78427064573,281193.11007511773,-2868.895092598861,378.78427064573043,59152.11007511773
original,validation,1992,226243.0,223206.96112702694,226106.6351050784,288420.8369287457,-3036.038872973062,-136.36489492160035,62177.83692874567
original,validation,1993,222788.0,227215.1045970965,230102.92645227944,295496.97859993775,4427.104597096506,7314.92645227944,72708.97859993775
original,test,1994,231804.0,224870.52232291875,225601.22089596244,244679.43401126313,-6933.477677081246,-6202.77910403756,12875.434011263133
original,test,1995,241480.0,228733.18384246805,227816.18947679567,251071.1336121923,-12746.816157531954,-13663.81052320433,9591.133612192294
original,test,1997,251462.0,232565.24775800682,233749.2900541268,257750.1657256478,-18896.752241993177,-17712.709945873212,6288.165725647792
original,test,1998,259786.0,236365.3918150911,239769.61090410923,264520.72424736386,-23420.608184908895,-20016.389095890772,4734.724247363862
original,test,1999,265657.0,240132.36888082445,244368.38985865022,271540.51046379365,-25524.631119175552,-21288.61014134978,5883.510463793646
original,test,2000,276629.0,243865.00590071414,248790.81984211502,278924.45768824004,-32763.99409928586,-27838.180157884985,2295.4576882400434
original,test,2001,278995.0,247562.20273139744,251832.0319947161,287429.47716429044,-31432.79726860256,-27162.96800528391,8434.477164290438
original,test,2002,284401.0,251222.93086097727,255598.0629522937,294141.9424256166,-33178.06913902273,-28802.937047706306,9740.94242561661
original,test,2003,293865.0,254846.23202827596,259700.18294180237,300887.46434493933,-39018.76797172404,-34164.81705819763,7022.464344939333
original,test,2004,303321.0,258431.2167518881,264580.0176767025,307583.60211816133,-44889.7832481119,-38740.982323297474,4262.602118161332
original,test,2005,303672.0,261977.0627794324,269969.64816422533,314203.0857527497,-41694.937220567605,-33702.351835774665,10531.0857527497
original,test,2006,314090.0,265483.01346695505,275644.05133087805,320694.85674099193,-48606.986533044954,-38445.94866912195,6604.856740991934
original,test,2007,313888.0,268948.3760979405,281427.27067110455,326994.17344406684,-44939.62390205951,-32460.729328895453,13106.173444066837
original,test,2008,319130.0,272372.52015091927,286397.55510154756,332969.45241741085,-46757.47984908073,-32732.444898452435,13839.452417410852
original,test,2009,292642.0,275754.87552416493,291523.5668805221,338797.00724589603,-16887.124475835066,-1118.4331194778788,46155.007245896035
original,test,2010,302062.0,279094.9307255062,295895.86394469894,344452.0126515802,-22967.069274493784,-6166.13605530106,42390.01265158021
original,test,2011,302570.0,282392.23103478376,300130.1721362745,349919.23717398796,-20177.768965216237,-2439.8278637254843,47349.23717398796
original,test,2012,299275.0,285646.3766460375,305387.287914376,355189.19018536084,-13628.623353962495,6112.287914376007,55914.19018536084
original,test,2013,289803.0,288857.0207960188,311391.1582718565,360256.1844359696,-945.9792039811728,21588.15827185649,70453.18443596963
original,test,2014,279829.0,292023.8678851965,318245.8454821846,365124.4375794592,12194.867885196523,38416.84548218461,85295.43757945922
