feature,score,rank,selected,method,model,lookback
lag_4,0.24683830225719483,1,True,importance,decision_tree,12
lag_1,0.1960448915251678,2,True,importance,decision_tree,12
lag_9,0.10295386405084535,3,True,importance,decision_tree,12
lag_6,0.08753032758413587,4,True,importance,decision_tree,12
lag_2,0.07351883249290235,5,True,importance,decision_tree,12
lag_3,0.06084557834401846,6,True,importance,decision_tree,12
lag_7,0.05437124182518855,7,False,importance,decision_tree,12
lag_5,0.048176408127904156,8,False,importance,decision_tree,12
lag_10,0.046804684984081385,9,False,importance,decision_tree,12
lag_8,0.036453237945464866,10,False,importance,decision_tree,12
lag_11,0.027075923528242517,11,False,importance,decision_tree,12
lag_12,0.01938670733485376,12,False,importance,decision_tree,12
lag_4,0.24683830225719483,1,True,importance,random_forest,12
lag_1,0.1960448915251678,2,True,importance,random_forest,12
lag_9,0.10295386405084535,3,True,importance,random_forest,12
lag_6,0.08753032758413587,4,True,importance,random_forest,12
lag_2,0.07351883249290235,5,True,importance,random_forest,12
lag_3,0.06084557834401846,6,True,importance,random_forest,12
lag_7,0.05437124182518855,7,False,importance,random_forest,12
lag_5,0.048176408127904156,8,False,importance,random_forest,12
lag_10,0.046804684984081385,9,False,importance,random_forest,12
lag_8,0.036453237945464866,10,False,importance,random_forest,12
lag_11,0.027075923528242517,11,False,importance,random_forest,12
lag_12,0.01938670733485376,12,False,importance,random_forest,12
lag_4,0.24683830225719483,1,True,importance,gradient_boosting,12
lag_1,0.1960448915251678,2,True,importance,gradient_boosting,12
lag_9,0.10295386405084535,3,True,importance,gradient_boosting,12
lag_6,0.08753032758413587,4,True,importance,gradient_boosting,12
lag_2,0.07351883249290235,5,True,importance,gradient_boosting,12
lag_3,0.06084557834401846,6,True,importance,gradient_boosting,12
lag_7,0.05437124182518855,7,False,importance,gradient_boosting,12
lag_5,0.048176408127904156,8,False,importance,gradient_boosting,12
lag_10,0.046804684984081385,9,False,importance,gradient_boosting,12
lag_8,0.036453237945464866,10,False,importance,gradient_boosting,12
lag_11,0.027075923528242517,11,False,importance,gradient_boosting,12
lag_12,0.01938670733485376,12,False,importance,gradient_boosting,12
