year,yoy_change,rolling_median,rolling_mad,local_score,is_local_outlier
1884,1.0,1.0,0.0,0.0,False
1885,1.0,1.0,0.0,0.0,False
1886,0.0,1.0,0.0,-1.2810252287996715,False
1887,1.0,1.0,0.0,0.0,False
1888,1.0,1.0,0.0,0.0,False
1889,1.0,1.0,0.0,0.0,False
1890,2.0,2.0,0.0,0.0,False
1891,7.0,5.0,1.0,1.348999998651,False
1892,7.0,5.0,2.0,0.67449999966275,False
1893,6.0,6.0,2.0,0.0,False
1894,5.0,7.0,2.0,-0.67449999966275,False
1895,12.0,7.0,2.0,1.686249999156875,False
1896,5.0,12.0,5.0,-0.94429999981114,False
1897,25.0,20.0,5.0,0.6744999998651,False
1898,25.0,25.0,7.0,0.0,False
1899,40.0,25.0,10.0,1.0117499998988249,False
1900,20.0,40.0,10.0,-1.3489999998651,False
1901,60.0,50.0,10.0,0.67449999993255,False
1902,80.0,60.0,15.0,0.8993333332733778,False
1903,100.0,80.0,15.0,0.8993333332733778,False
1904,50.0,100.0,20.0,-1.6862499999156875,False
1905,100.0,100.0,20.0,0.0,False
1906,150.0,150.0,20.0,0.0,False
1907,250.0,150.0,20.0,3.372499999831375,False
1908,200.0,200.0,50.0,0.0,False
1909,150.0,200.0,50.0,-0.6744999999865101,False
1910,200.0,200.0,50.0,0.0,False
1911,300.0,200.0,50.0,1.3489999999730202,False
1912,200.0,250.0,75.0,-0.4496666666606711,False
1913,200.0,300.0,50.0,-1.3489999999730202,False
1914,375.0,300.0,75.0,0.6744999999910066,False
1915,350.0,300.0,100.0,0.3372499999966275,False
1916,500.0,300.0,100.0,1.34899999998651,False
1917,575.0,300.0,190.0,0.9762499999948618,False
1918,300.0,350.0,190.0,-0.1774999999990658,False
1919,-300.0,375.0,190.0,-2.396249999987388,False
1920,690.0,500.0,190.0,0.67449999999645,False
1921,-150.0,575.0,200.0,-2.445062499987775,False
1922,190.0,575.0,275.0,-0.9442999999965662,False
1923,880.0,690.0,190.0,0.67449999999645,False
1924,840.0,750.0,190.0,0.3194999999983184,False
1925,810.0,750.0,190.0,0.21299999999887895,False
1926,1130.0,750.0,380.0,0.6744999999982251,False
1927,350.0,750.0,380.0,-0.7099999999981317,False
1928,890.0,810.0,310.0,0.17406451612847076,False
1929,750.0,810.0,310.0,-0.13054838709635308,False
1930,290.0,810.0,310.0,-1.13141935483506,False
1931,-200.0,750.0,380.0,-1.6862499999955625,False
1932,120.0,750.0,400.0,-1.0623374999973443,False
1933,1060.0,750.0,520.0,0.40210576922999597,False
1934,950.0,750.0,630.0,0.21412698412664424,False
1935,1200.0,950.0,769.0,0.21927828348476036,False
1936,-152.0,1013.0,899.0,-0.8740739710780044,False
1937,1782.0,1013.0,899.0,0.5769638487201592,False
1938,114.0,1013.0,899.0,-0.6744999999992497,False
1939,2873.0,950.0,1165.0,1.1133592274668556,False
1940,1013.0,114.0,1217.0,0.498254313886197,False
1941,1331.0,114.0,1541.0,0.5326842959114,False
1942,-528.0,1013.0,1541.0,-0.6744999999995622,False
1943,-1986.0,1013.0,1541.0,-1.3126706683962928,False
1944,-4702.0,1013.0,1910.0,-2.018202879580095,False
1945,-897.0,1013.0,1541.0,-0.8360123296555251,False
1946,4837.0,1331.0,1910.0,1.238113612564797,False
1947,3089.0,1620.0,1910.0,0.5187646596855923,False
1948,2120.0,1776.0,1910.0,0.1214806282721877,False
1949,-1912.0,2120.0,1469.0,-1.8513165418639541,False
1950,3899.0,2550.0,1349.0,0.6744999999994999,False
1951,4542.0,2550.0,848.0,1.5844386792434146,False
1952,1620.0,2468.0,692.0,-0.8265549132936033,False
1953,1776.0,2468.0,632.0,-0.7385348101254138,False
1954,2955.0,2550.0,632.0,0.4322349683537465,False
1955,2550.0,2766.0,632.0,-0.23052531645533147,False
1956,2468.0,2766.0,405.0,-0.49629876543087337,False
1957,2134.0,2766.0,405.0,-1.0525530864171542,False
1958,2766.0,2955.0,298.0,-0.42778691275024233,False
1959,3858.0,3858.0,298.0,0.0,False
1960,6890.0,4294.0,256.0,6.839851562473282,True
1961,4325.0,4325.0,298.0,0.0,False
1962,4294.0,5395.0,256.0,-2.9008769531136687,False
1963,6485.0,6229.0,256.0,0.6744999999973652,False
1964,5395.0,6436.0,256.0,-2.742791015614286,False
1965,6229.0,6485.0,256.0,-0.6744999999973652,False
1966,7025.0,6485.0,256.0,1.4227734374944425,False
1967,6836.0,6836.0,412.0,0.0,False
1968,7182.0,6976.0,412.0,0.3372499999991814,False
1969,6436.0,6976.0,540.0,-0.674499999998751,False
1970,6976.0,6976.0,540.0,0.0,False
1971,7437.0,7025.0,540.0,0.5146185185175656,False
1972,10401.0,6976.0,1482.0,1.5588141025630506,False
1973,10257.0,7182.0,3075.0,0.6744999999997807,False
1974,3387.0,6976.0,3228.0,-0.749932001238925,False
1975,-1572.0,6976.0,3228.0,-1.7861294919449238,False
1976,16217.0,6223.0,3425.0,1.9681614598534398,False
1977,2995.0,4477.0,3425.0,-0.2918566423356812,False
1978,8496.0,3387.0,3589.0,0.9601617442181778,False
1979,6223.0,2995.0,3589.0,0.6066553357479503,False
1980,4477.0,2995.0,3282.0,0.3045731261425032,False
1981,-4085.0,3071.0,3282.0,-1.4706648385126535,False
1982,2788.0,3071.0,3282.0,-0.05816072516756302,False
1983,-1564.0,3071.0,3282.0,-0.9525617001825251,False
1984,-211.0,3071.0,3228.0,-0.6857834572488581,False
1985,3071.0,3071.0,2039.0,0.0,False
1986,6590.0,3071.0,2039.0,1.1640831289842257,False
1987,9042.0,4202.0,2039.0,1.6010691515440898,False
1988,2189.0,4202.0,2987.0,-0.4545592567792251,False
1989,7189.0,5150.0,2039.0,0.6744999999996691,False
1990,6141.0,6141.0,2039.0,0.0,False
1991,5150.0,6590.0,2987.0,-0.3251690659523518,False
1992,4202.0,7189.0,2039.0,-0.988097842078966,False
1993,-3455.0,6141.0,2039.0,-3.1743511525241908,False
1994,9016.0,7189.0,2039.0,0.6043705247667462,False
1995,9676.0,6141.0,2987.0,0.7982448945427525,False
1997,9982.0,5871.0,2987.0,0.9283125209236932,False
1998,8324.0,8324.0,3145.0,0.0,False
1999,5871.0,9016.0,3535.0,-0.6000855728428288,False
2000,10972.0,9016.0,3535.0,0.3732169731257784,False
2001,2366.0,9456.0,3593.0,-1.3309782911212549,False
2002,5406.0,8324.0,4050.0,-0.4859730864196331,False
2003,9464.0,5871.0,4050.0,0.5983897530862721,False
2004,9456.0,5406.0,4734.0,0.5770437262356195,False
2005,351.0,5406.0,5055.0,-0.6744999999998664,False
2006,10418.0,5242.0,5055.0,0.6906453016813667,False
2007,-202.0,5242.0,4734.0,-0.7756607520065957,False
2008,5242.0,508.0,5055.0,0.6316682492580352,False
2009,-26488.0,351.0,5055.0,-3.5811880316511213,True
2010,9420.0,74.5,5115.5,1.2322431336132864,False
2011,508.0,-202.0,5176.0,0.09252221792888474,False
2012,-3295.0,-1748.5,5089.0,-0.204974307329494,False
2013,-9472.0,-3295.0,4734.0,-0.8800985424586225,False
2014,-9974.0,-6383.5,4883.75,-0.4958878423341702,False
