scale,split,timestamp,actual,statistical_pred,ml_pred,neural_pred,statistical_error,ml_error,neural_error
original,validation,1975,147333.0,152370.83347878963,147333.00000000012,155447.46130769467,5037.833478789631,1.1641532182693481e-10,8114.46130769467
original,validation,1976,163550.0,155917.33531011522,163550.00000000015,163529.5765068078,-7632.664689884783,1.4551915228366852e-10,-20.423493192211026
original,validation,1977,166545.0,159546.38307498005,166544.99999999997,171685.80478017553,-6998.6169250199455,-2.9103830456733704e-11,5140.804780175531
original,validation,1978,175041.0,163259.8980556696,175041.0,179827.88028081707,-11781.10194433041,0.0,4786.880280817073
original,validation,1979,181264.0,167059.84625291228,181263.99999999985,187576.19635741995,-14204.153747087723,-1.4551915228366852e-10,6312.196357419947
original,validation,1980,185741.0,170948.23942671515,185740.99999999983,195020.19928484407,-14792.760573284846,-1.7462298274040222e-10,9279.199284844071
original,validation,1981,181656.0,174927.13616142533,181655.99999999985,203204.416308718,-6728.863838574674,-1.4551915228366852e-10,21548.416308718006
original,validation,1982,184444.0,178998.64295558108,184444.00000000006,211319.66392917157,-5445.3570444189245,5.820766091346741e-11,26875.66392917157
original,validation,1983,182880.0,183164.9153371296,182880.00000000012,219373.97386649574,284.91533712961245,1.1641532182693481e-10,36493.97386649574
original,validation,1984,182669.0,187428.15900460165,182668.9999999999,227352.34288684907,4759.15900460165,-8.731149137020111e-11,44683.342886849074
original,validation,1985,185740.0,191790.63099484754,185740.00000000003,235253.57317358363,6050.630994847539,2.9103830456733704e-11,49513.57317358363
original,validation,1986,192330.0,196254.6408779525,192329.99999999985,243119.6696140084,3924.640877952508,-1.4551915228366852e-10,50789.669614008395
original,validation,1987,201372.0,200822.55197996416,201371.99999999983,250972.30881437712,-549.4480200358375,-1.7462298274040222e-10,49600.30881437712
original,validation,1988,203561.0,205496.78263407905,203560.9999999999,258710.27408190246,1935.7826340790489,-8.731149137020111e-11,55149.27408190246
original,validation,1989,210750.0,210279.80746095136,210750.00000000012,266331.1473439258,-470.1925390486431,1.1641532182693481e-10,55581.14734392578
original,validation,1990,216891.0,215174.15867880092,216890.99999999983,273827.2969512444,-1716.8413211990846,-1.7462298274040222e-10,56936.29695124441
original,validation,1991,222041.0,220182.42744401444,222040.99999999997,281193.11007511773,-1858.5725559855637,-2.9103830456733704e-11,59152.11007511773
original,validation,1992,226243.0,225307.26522294973,226243.00000000006,288420.8369287457,-935.7347770502674,5.820766091346741e-11,62177.83692874567
original,validation,1993,222788.0,230551.38519566902,222787.99999999994,295496.97859993775,7763.38519566902,-5.820766091346741e-11,72708.97859993775
original,test,1994,231804.0,219385.76173069768,212023.0623951326,244679.43401126313,-12418.238269302325,-19780.937604867388,12875.434011263133
original,test,1995,241480.0,216035.47946120283,199663.58152613326,251071.1336121923,-25444.520538797166,-41816.41847386674,9591.133612192294
original,test,1997,251462.0,212736.35976504083,191555.0929887855,257750.1657256478,-38725.640234959166,-59906.9070112145,6288.165725647792
original,test,1998,259786.0,209487.6213322504,187149.8777947009,264520.72424736386,-50298.37866774961,-72636.12220529909,4734.724247363862
original,test,1999,265657.0,206288.494784351,173913.72937282678,271540.51046379365,-59368.505215649,-91743.27062717322,5883.510463793646
original,test,2000,276629.0,203138.2224921357,156034.8462882102,278924.45768824004,-73490.77750786429,-120594.15371178981,2295.4576882400434
original,test,2001,278995.0,200036.05839624652,143796.36968341694,287429.47716429044,-78958.94160375348,-135198.63031658306,8434.477164290438
original,test,2002,284401.0,196981.26783048984,129582.33652242679,294141.9424256166,-87419.73216951016,-154818.6634775732,9740.94242561661
original,test,2003,293865.0,193973.12734785,117376.04780255306,300887.46434493933,-99891.87265214999,-176488.95219744695,7022.464344939333
original,test,2004,303321.0,191010.9245491599,106448.05539802246,307583.60211816133,-112310.07545084009,-196872.94460197754,4262.602118161332
original,test,2005,303672.0,188093.95791438787,95762.30327577799,314203.0857527497,-115578.04208561213,-207909.696724222,10531.0857527497
original,test,2006,314090.0,185221.536636501,85246.35213619747,320694.85674099193,-128868.463363499,-228843.64786380253,6604.856740991934
original,test,2007,313888.0,182392.98045786584,79719.19914745924,326994.17344406684,-131495.01954213416,-234168.80085254076,13106.173444066837
original,test,2008,319130.0,179607.61950914699,67201.58307331293,332969.45241741085,-139522.38049085301,-251928.41692668706,13839.452417410852
original,test,2009,292642.0,176864.79415066622,57689.52850042236,338797.00724589603,-115777.20584933378,-234952.47149957763,46155.007245896035
original,test,2010,302062.0,174163.85481618412,41114.9922942761,344452.0126515802,-127898.14518381588,-260947.0077057239,42390.01265158021
original,test,2011,302570.0,171504.1618590673,39385.56496953177,349919.23717398796,-131065.8381409327,-263184.4350304682,47349.23717398796
original,test,2012,299275.0,168885.085400805,37435.329465619056,355189.19018536084,-130389.914599195,-261839.67053438094,55914.19018536084
original,test,2013,289803.0,166306.00518183873,30285.80794120804,360256.1844359696,-123496.99481816127,-259517.19205879196,70453.18443596963
original,test,2014,279829.0,163766.31041467024,30881.433800492076,365124.4375794592,-116062.68958532976,-248947.5661995079,85295.43757945922
