feature,score,rank,selected,method,model,lookback
lag_1,0.40347078982178153,1,True,importance,decision_tree,12
lag_2,0.14461457772642705,2,True,importance,decision_tree,12
lag_3,0.09073338993861071,3,True,importance,decision_tree,12
lag_7,0.06556949467636616,4,True,importance,decision_tree,12
lag_8,0.059592309385416244,5,True,importance,decision_tree,12
lag_9,0.05164116992387198,6,True,importance,decision_tree,12
lag_4,0.04710547287986123,7,False,importance,decision_tree,12
lag_6,0.03233722317316207,8,False,importance,decision_tree,12
lag_5,0.029310672526552315,9,False,importance,decision_tree,12
lag_10,0.028783190159371797,10,False,importance,decision_tree,12
lag_12,0.02476956890669732,11,False,importance,decision_tree,12
lag_11,0.02207214088188159,12,False,importance,decision_tree,12
lag_1,0.3140792924385019,1,True,importance,random_forest,6
lag_5,0.19063646875050286,2,True,importance,random_forest,6
lag_3,0.1518104967001025,3,True,importance,random_forest,6
lag_2,0.1427270051672996,4,True,importance,random_forest,6
lag_4,0.13239356010705833,5,True,importance,random_forest,6
lag_6,0.06835317683653495,6,True,importance,random_forest,6
lag_1,0.3140792924385019,1,True,importance,gradient_boosting,6
lag_5,0.19063646875050286,2,True,importance,gradient_boosting,6
lag_3,0.1518104967001025,3,True,importance,gradient_boosting,6
lag_2,0.1427270051672996,4,True,importance,gradient_boosting,6
lag_4,0.13239356010705833,5,True,importance,gradient_boosting,6
lag_6,0.06835317683653495,6,True,importance,gradient_boosting,6
