feature,score,rank,selected,method,model,lookback
lag_1,0.2027247268647555,1,True,importance,decision_tree,6
lag_2,0.17091260783713444,2,True,importance,decision_tree,6
lag_5,0.1703681275105405,3,True,importance,decision_tree,6
lag_6,0.1633536416164547,4,True,importance,decision_tree,6
lag_4,0.14730112411440455,5,True,importance,decision_tree,6
lag_3,0.14533977205671028,6,True,importance,decision_tree,6
lag_2,0.1126799461198249,1,True,importance,random_forest,12
lag_1,0.10512799534726049,2,True,importance,random_forest,12
lag_3,0.10153591260999612,3,True,importance,random_forest,12
lag_6,0.08776441009379855,4,True,importance,random_forest,12
lag_7,0.08230538276602566,5,True,importance,random_forest,12
lag_10,0.08077620271809918,6,True,importance,random_forest,12
lag_5,0.07812359974193148,7,False,importance,random_forest,12
lag_11,0.07462931617377479,8,False,importance,random_forest,12
lag_4,0.07447231493126576,9,False,importance,random_forest,12
lag_8,0.07148300953047003,10,False,importance,random_forest,12
lag_12,0.06864448755956579,11,False,importance,random_forest,12
lag_9,0.062457422407987406,12,False,importance,random_forest,12
lag_2,0.1126799461198249,1,True,importance,gradient_boosting,12
lag_1,0.10512799534726049,2,True,importance,gradient_boosting,12
lag_3,0.10153591260999612,3,True,importance,gradient_boosting,12
lag_6,0.08776441009379855,4,True,importance,gradient_boosting,12
lag_7,0.08230538276602566,5,True,importance,gradient_boosting,12
lag_10,0.08077620271809918,6,True,importance,gradient_boosting,12
lag_5,0.07812359974193148,7,False,importance,gradient_boosting,12
lag_11,0.07462931617377479,8,False,importance,gradient_boosting,12
lag_4,0.07447231493126576,9,False,importance,gradient_boosting,12
lag_8,0.07148300953047003,10,False,importance,gradient_boosting,12
lag_12,0.06864448755956579,11,False,importance,gradient_boosting,12
lag_9,0.062457422407987406,12,False,importance,gradient_boosting,12
