model,lookback,params,best_epoch,best_val_loss,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",77,1.4394368918146938e-05,0.0033141592248565046,0.0028293473293354186,0.2771301440569745,-0.000870770501219531,0.000870770501219531,6764.8980998626375,5833.060308223571,3.1458362529839925,-1660.5108109911744,1660.5108109911744,6764.8980998626375,1660.5108109911744
lstm,8,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",32,1.3492812286131084e-05,0.0033306550972319765,0.0028187630791109753,0.276240006341244,-0.0001542451849811277,0.0001542451849811277,6843.329793757,5816.47982874583,3.1587786205123742,-89.29737616266212,89.29737616266212,6843.329793757,89.29737616266212
lstm,8,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",117,1.6458296158816665e-05,0.003398569937864435,0.002798762740556593,0.2744002024984529,-0.00027110903175999736,0.00027110903175999736,6901.375989430938,5737.278101500789,3.1310055145015885,-270.30635102966187,270.30635102966187,6901.375989430938,270.30635102966187
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",38,1.4253522749640979e-05,0.003398746804077239,0.0028534316245599324,0.27963931672676234,0.0005311635264522829,0.0005311635264522829,7082.528883980425,5923.73155055557,3.2196876742552045,1406.3366399227714,1406.3366399227714,7082.528883980425,1406.3366399227714
lstm,6,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",79,1.3494548511516768e-05,0.0036638209925749497,0.0029639040939561712,0.29082732832789876,-0.0015151294937961301,0.0015151294937961301,7151.713306780598,5925.847878793201,3.263947009180289,-2818.876892871283,2818.876892871283,7151.713306780598,2818.876892871283
lstm,6,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",67,1.464932120143203e-05,0.0034897249892654587,0.002935376097623954,0.2876567082187685,0.0006244030722744265,0.0006244030722744265,7271.253824476091,6099.084136885441,3.3130358028677387,1666.6682327915346,1666.6682327915346,7271.253824476091,1666.6682327915346
lstm,8,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",32,1.66766421898501e-05,0.0035969711354214024,0.002942478863786424,0.2885388177761353,7.779569712946799e-05,7.779569712946799e-05,7295.799693415767,6029.68375493971,3.2977219294172593,628.2981142638557,628.2981142638557,7295.799693415767,628.2981142638557
lstm,6,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",50,1.3103172932460438e-05,0.0035023981839462765,0.002951359083120475,0.28915553704044206,0.0009116289147503176,0.0009116289147503176,7379.901488124992,6170.3046280202425,3.3437579681006824,2217.8782108821206,2217.8782108821206,7379.901488124992,2217.8782108821206
lstm,8,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",72,1.80780807568226e-05,0.0038330136242267295,0.0031422680132142887,0.3085884904052756,-0.0014596167078845701,0.0014596167078845701,7389.497876358868,6231.796261269075,3.4633816158829016,-2600.4583649737324,2600.4583649737324,7389.497876358868,2600.4583649737324
lstm,6,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",62,1.3408176528173499e-05,0.0034596970896604313,0.002860772368869191,0.2795598200092002,0.0009114143380291262,0.0009114143380291262,7503.372523546014,6170.54731678769,3.246847063153001,1768.6120405121924,1768.6120405121924,7503.372523546014,1768.6120405121924
lstm,6,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",44,1.795748175936751e-05,0.003994640882947825,0.0032560527147102334,0.31974810763095135,-0.0009668978920810423,0.0009668978920810423,7750.633523262735,6469.063692879083,3.5951170802979098,-1393.8498025057343,1393.8498025057343,7750.633523262735,1393.8498025057343
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",56,1.5562134649371728e-05,0.0038352223714122374,0.0032796084315441345,0.32115174811376634,0.0010727968939907352,0.0010727968939907352,8104.370264038586,6895.055601333889,3.7123454960464977,2780.617496411981,2780.617496411981,8104.370264038586,2780.617496411981
lstm,6,"{'hidden_size': 24, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",135,1.6241856428678147e-05,0.00412047715072594,0.0035014545871283388,0.34343976678639215,-0.000595233129584094,0.000595233129584094,8151.283494284635,7081.654572633202,3.879309042524314,-511.9429930234677,511.9429930234677,8151.283494284635,511.9429930234677
