order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(0, 0, 0)","(0, 0, 0, 0)",0.04049785037029154,0.029648777571584094,100.0,0.0020209210416137885,0.0020209210416137885,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,-121.88965139977117,-121.84419685431662,1,6933.849602129962,2281.997918571142
"(2, 1, 2)","(0, 0, 0, 0)",0.046815548542549115,0.03330832604772602,102.2117770969264,0.0004833960105696869,0.0004833960105696869,12428.875614481014,9386.580971169611,4.646105051890863,-5106.156554459812,5106.156554459812,-128.91973735716854,-128.20545164288282,5,12428.875614481014,5106.156554459812
"(1, 1, 2)","(0, 0, 0, 0)",0.041193273995173585,0.0298454702798632,96.47645093237134,0.00023900098820556508,0.00023900098820556508,30316.461807711068,25064.026040138,12.353889900423013,-24530.487283093215,24530.487283093215,-123.48335875288842,-123.0127705175943,4,30316.461807711068,24530.487283093215
"(1, 1, 1)","(0, 0, 0, 0)",0.04183314027964689,0.030144254922561488,95.0113858527725,-0.0005716024142256896,0.0005716024142256896,32410.31722689297,24350.496382451955,11.798870189196817,-23653.659682995,23653.659682995,-126.9637868691378,-126.68471710169595,3,32410.31722689297,23653.659682995
"(2, 1, 1)","(0, 0, 0, 0)",0.0408367137845089,0.03018397818993859,100.32235089861202,0.002115994487897701,0.002115994487897701,32768.11014607977,26785.4946222272,13.260584164561182,26682.37622648736,26682.37622648736,-128.65452612931466,-128.18393789402054,4,32768.11014607977,26682.37622648736
"(1, 0, 0)","(0, 0, 0, 0)",0.04228031660424837,0.030861485899548485,102.92052583628535,0.002653932456580274,0.002653932456580274,32873.44970000358,25997.195697027328,12.753869863535119,24722.170623811875,24722.170623811875,-129.341037545653,-129.20310651117023,2,32873.44970000358,24722.170623811875
"(0, 1, 2)","(0, 0, 0, 0)",0.042380647311056695,0.031039775403336998,100.71942168122541,0.0018887681682818352,0.0018887681682818352,47244.20024353979,40267.144150574066,20.062893897375407,40267.144150574066,40267.144150574066,-137.93067396286625,-137.6516041954244,3,47244.20024353979,40267.144150574066
"(0, 1, 1)","(0, 0, 0, 0)",0.04045861903566694,0.029179220824193927,92.98403198002475,-0.0009529383585239409,0.0009529383585239409,47989.69498495664,39212.227796481704,19.23501595760096,-38729.55683036473,38729.55683036473,-120.62823994023138,-120.49030890574862,2,47989.69498495664,38729.55683036473
"(2, 0, 0)","(0, 0, 0, 0)",0.040933125029452795,0.03035743770728234,102.61338583970311,0.003080454222764399,0.003080454222764399,57743.60990822668,45416.24136387532,22.18381266530434,45379.88615965721,45379.88615965721,-137.74187521151623,-137.46280544407438,3,57743.60990822668,45379.88615965721
"(0, 0, 1)","(0, 0, 0, 0)",0.0431707235777947,0.03173947933925397,106.21831288103778,0.004111622809283673,0.004111622809283673,131710.31896901067,104388.40758679091,50.94417177132641,104388.40758679091,104388.40758679091,-149.45006430324673,-149.31213326876397,2,131710.31896901067,104388.40758679091
"(2, 0, 1)","(0, 0, 0, 0)",0.04051420878117068,0.030656456368542723,104.91374397560608,0.00413210512402936,0.00413210512402936,132969.51309187614,105225.0430825434,51.32927109534572,105225.0430825434,105225.0430825434,-149.420174686647,-148.94958645135287,4,132969.51309187614,105225.0430825434
"(1, 0, 2)","(0, 0, 0, 0)",0.04133591195157417,0.030886088255251368,104.5983098152997,0.004158692013582844,0.004158692013582844,132990.15306253798,104813.8290014064,51.08638854747397,104813.8290014064,104813.8290014064,-152.57087359805885,-152.10028536276474,4,132990.15306253798,104813.8290014064
"(0, 0, 2)","(0, 0, 0, 0)",0.04132114996080726,0.03088323395206743,104.62226700852769,0.004158627055213099,0.004158627055213099,133158.7339601957,104981.13664310258,51.171432362709226,104981.13664310258,104981.13664310258,-154.54913845120862,-154.27006868376677,3,133158.7339601957,104981.13664310258
"(1, 0, 1)","(0, 0, 0, 0)",0.04197004654017349,0.031177404274970094,105.0944126585431,0.004169999869874802,0.004169999869874802,134213.22859390403,105840.3714978186,51.59391385330794,105840.3714978186,105840.3714978186,-149.40254034345494,-149.1234705760131,3,134213.22859390403,105840.3714978186
"(2, 0, 2)","(0, 0, 0, 0)",0.04640974804180318,0.03380442970271296,109.2418041205385,0.004256973278290224,0.004256973278290224,137835.012251658,108740.33858429831,53.0142626410688,108740.33858429831,108740.33858429831,-154.32049607934255,-153.60621036505682,5,137835.012251658,108740.33858429831
"(2, 1, 0)","(0, 0, 0, 0)",0.04709521592778375,0.035407409707766666,183.374984572875,-0.022389949154283818,0.022389949154283818,145469.22636643852,126195.3628284607,62.719103817217814,-125843.82621067601,125843.82621067601,-82.35172583084025,-82.0726560633984,3,145469.22636643852,125843.82621067601
"(1, 1, 0)","(0, 0, 0, 0)",0.052795666187089044,0.039980708207352125,235.53216185187452,-0.031593493918713474,0.031593493918713474,156244.04757806464,138939.33711699376,69.51974964441622,-138793.69825040572,138793.69825040572,-71.92948344406508,-71.79155240958232,2,156244.04757806464,138793.69825040572
"(0, 1, 0)","(0, 0, 0, 0)",0.06281794928276604,0.05187317486520492,341.95179895414327,-0.048063530762253434,0.048063530762253434,166047.99289516138,151547.0853979113,76.41870248522156,-151547.0853979113,151547.0853979113,-34.60655003361602,-34.56109548816147,1,166047.99289516138,151547.0853979113
