order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(0, 0, 0)","(0, 0, 0, 0)",0.04049785037029154,0.029648777571584094,100.0,0.0020209210416137885,0.0020209210416137885,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,-121.88965139977117,-121.84419685431662,1,6933.849602129962,2281.997918571142
"(2, 1, 2)","(0, 0, 0, 0)",0.046815548542549115,0.03330832604772602,102.2117770969264,0.0004833960105696869,0.0004833960105696869,12428.875614481014,9386.580971169611,4.646105051890863,-5106.156554459812,5106.156554459812,-128.91973735716854,-128.20545164288282,5,12428.875614481014,5106.156554459812
"(3, 1, 2)","(0, 0, 0, 0)",0.041064858039558526,0.03123003469525516,103.57621994273583,0.0014527298120236736,0.0014527298120236736,22239.539149334898,18774.031968937343,9.472915827550784,18594.76349125782,18594.76349125782,-140.96805204160626,-139.95600384883517,6,22239.539149334898,18594.76349125782
"(3, 1, 1)","(0, 0, 0, 0)",0.04177946144245988,0.03118657862370592,101.7703511464707,0.0013818746477144614,0.0013818746477144614,24383.948902496548,20840.90345863952,10.526204101729595,20685.901264417935,20685.901264417935,-141.73611786554017,-141.02183215125444,5,24383.948902496548,20685.901264417935
"(4, 1, 2)","(0, 0, 0, 0)",0.04152529988394878,0.03131449210802269,103.26784493202095,0.0016606838098880245,0.0016606838098880245,29465.351997786198,24942.65490466051,12.48459014670641,24808.54918782483,24808.54918782483,-136.0377696559028,-134.6719159973662,7,29465.351997786198,24808.54918782483
"(1, 1, 2)","(0, 0, 0, 0)",0.041193273995173585,0.0298454702798632,96.47645093237134,0.00023900098820556508,0.00023900098820556508,30316.461807711068,25064.026040138,12.353889900423013,-24530.487283093215,24530.487283093215,-123.48335875288842,-123.0127705175943,4,30316.461807711068,24530.487283093215
"(4, 1, 1)","(0, 0, 0, 0)",0.04167376192721511,0.03120194476045478,102.55633762797906,0.0017144350328888603,0.0017144350328888603,32185.050651582787,27255.595933973997,13.619486556288782,27136.62332333592,27136.62332333592,-137.6883265494252,-136.6762783566541,6,32185.050651582787,27136.62332333592
"(1, 1, 1)","(0, 0, 0, 0)",0.04183314027964689,0.030144254922561488,95.0113858527725,-0.0005716024142256896,0.0005716024142256896,32410.31722689297,24350.496382451955,11.798870189196817,-23653.659682995,23653.659682995,-126.9637868691378,-126.68471710169595,3,32410.31722689297,23653.659682995
"(2, 1, 1)","(0, 0, 0, 0)",0.0408367137845089,0.03018397818993859,100.32235089861202,0.002115994487897701,0.002115994487897701,32768.11014607977,26785.4946222272,13.260584164561182,26682.37622648736,26682.37622648736,-128.65452612931466,-128.18393789402054,4,32768.11014607977,26682.37622648736
"(1, 0, 0)","(0, 0, 0, 0)",0.04228031660424837,0.030861485899548485,102.92052583628535,0.002653932456580274,0.002653932456580274,32873.44970000358,25997.195697027328,12.753869863535119,24722.170623811875,24722.170623811875,-129.341037545653,-129.20310651117023,2,32873.44970000358,24722.170623811875
"(2, 1, 3)","(0, 0, 0, 0)",0.04659345372116989,0.0341767344041482,111.36921976779377,-0.00034810947077795713,0.00034810947077795713,41544.39622934442,37027.598118973074,19.214923522795523,37027.598118973074,37027.598118973074,-145.8287119668525,-144.8166637740814,6,41544.39622934442,37027.598118973074
"(1, 1, 4)","(0, 0, 0, 0)",0.042226380059650334,0.03167712638541515,100.99159461114566,-0.0005437604633183844,0.0005437604633183844,41701.41121174425,36792.123075040414,19.098558712238304,36792.123075040414,36792.123075040414,-146.78353455798472,-145.77148636521363,6,41701.41121174425,36792.123075040414
"(1, 1, 3)","(0, 0, 0, 0)",0.046175484602170254,0.03327528419585566,104.15859052078697,0.0017137396023027018,0.0017137396023027018,42462.59194636105,36633.02913740274,18.33802207766864,36633.02913740274,36633.02913740274,-142.23922365137614,-141.5249379370904,5,42462.59194636105,36633.02913740274
