model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.01190176621749914,0.009375596678985312,64.41611099511816,-0.0045765580891425,0.0045765580891425,8479.419215589585,7201.665566521905,2.829236141498748,-7201.665566521905,7201.665566521905,8479.419215589585,7201.665566521905
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.01190176621749914,0.009375596678985312,64.41611099511816,-0.0045765580891425,0.0045765580891425,8479.419215589585,7201.665566521905,2.829236141498748,-7201.665566521905,7201.665566521905,8479.419215589585,7201.665566521905
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.01244775323193139,0.009800558890955468,62.76945166455782,-0.005851444725052969,0.005851444725052969,10745.29536693386,9245.800156002171,3.625712253182458,-9245.800156002171,9245.800156002171,10745.29536693386,9245.800156002171
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.01244775323193139,0.009800558890955468,62.76945166455782,-0.005851444725052969,0.005851444725052969,10745.29536693386,9245.800156002171,3.625712253182458,-9245.800156002171,9245.800156002171,10745.29536693386,9245.800156002171
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.03198246312402774,0.027425674812378304,177.87755053584496,-0.009790608536989579,0.009790608536989579,13496.783036781811,10180.289277649506,4.038497491357278,-9332.296992993615,9332.296992993615,13496.783036781811,9332.296992993615
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.03170694526111055,0.025396393632168095,176.50269770374442,-0.013051406438384502,0.013051406438384502,22829.314855626173,20917.633843346244,8.36682450439839,-20917.633843346244,20917.633843346244,22829.314855626173,20917.633843346244
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.0279367968976467,0.023622334420857802,107.43071347115996,-0.016341156768410612,0.016341156768410612,25717.996583543256,22240.671998118723,8.729985134571255,-21885.7259751956,21885.7259751956,25717.996583543256,21885.7259751956
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.023507455043738884,0.019122635764806117,78.42518957187002,-0.019122635764806117,0.019122635764806117,32111.17650595006,28367.67867984921,11.135200476058294,-28367.67867984921,28367.67867984921,32111.17650595006,28367.67867984921
gradient_boosting,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.015766622346212525,0.012581706267354949,92.76686993982587,-0.00596227387061039,0.00596227387061039,11580.206014706166,10338.067520722429,4.097179270610858,-10338.067520722429,10338.067520722429,11580.206014706166,10338.067520722429
gradient_boosting,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.019179537048048426,0.015885946469029407,107.8002057937343,-0.009276346002576428,0.009276346002576428,16024.546720191118,14054.292468672125,5.549320735985267,-14054.292468672125,14054.292468672125,16024.546720191118,14054.292468672125
