order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(1, 0, 2)","(0, 0, 0, 0)",0.027189774779929458,0.019989088384712233,194.9614115767183,0.001035601686532686,0.001035601686532686,6301.982527315527,5327.089364552291,2.9093045138274856,-1038.596485364839,1038.596485364839,-152.9878038090152,-152.52268752994542,4,6301.982527315527,1038.596485364839
"(2, 0, 1)","(0, 0, 0, 0)",0.027382615279427917,0.020153221393156662,189.98259586035175,0.00015088907178384476,0.00015088907178384476,6470.759512095446,5464.077764876711,2.9602074784351404,-2735.096159326066,2735.096159326066,-155.2122436365628,-154.747127357493,4,6470.759512095446,2735.096159326066
"(0, 1, 0)","(0, 0, 0, 0)",0.027951856661320242,0.02013271137409318,199.76207263389327,0.0018027878460490957,0.0018027878460490957,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,-121.88965127603117,-121.84470745580646,1,6933.849602129962,2281.997918571142
"(3, 0, 3)","(0, 0, 0, 0)",0.02759425410606809,0.020247478477856625,189.02882869069276,-5.212318754763244e-05,5.212318754763244e-05,7099.2201918248875,5853.584720374253,3.159372390877338,-3917.2844007204526,3917.2844007204526,-157.48390794436267,-156.13451035400124,7,7099.2201918248875,3917.2844007204526
"(3, 0, 2)","(0, 0, 0, 0)",0.0295465435063906,0.02142493928392512,196.8147556187529,0.0022785036665543988,0.0022785036665543988,7163.703588423233,6236.048704158242,3.342086524699048,2109.946323863203,2109.946323863203,-158.22911708371112,-157.22911708371112,6,7163.703588423233,2109.946323863203
"(3, 0, 1)","(0, 0, 0, 0)",0.027261524496451313,0.020023901631385416,183.8695292878269,-0.0007708979625953316,0.0007708979625953316,7605.405199230087,6531.784509620632,3.4621619695336783,-4970.905902033311,4970.905902033311,-151.1174965046156,-150.4116141516744,5,7605.405199230087,4970.905902033311
"(2, 0, 3)","(0, 0, 0, 0)",0.02766482257053926,0.020213644419764604,183.18357883028565,-0.0008400714832719246,0.0008400714832719246,8015.613195286409,6860.443885884286,3.633293314707622,-5543.059144800368,5543.059144800368,-158.37382473722843,-157.37382473722843,6,8015.613195286409,5543.059144800368
"(3, 0, 0)","(0, 0, 0, 0)",0.02733679289103683,0.02146168496997557,163.3741989751525,-0.004238119230586787,0.004238119230586787,9972.478613933057,7917.039860017468,3.952156516567557,-5180.083009305099,5180.083009305099,-140.06834265422845,-139.60322637515867,4,9972.478613933057,5180.083009305099
"(4, 0, 1)","(0, 0, 0, 0)",0.02707706238186407,0.021669196353254046,212.545738012948,0.003707447921441827,0.003707447921441827,13379.421907672999,11385.45572669364,5.851072827143602,10437.027759847653,10437.027759847653,-150.6769012788048,-149.6769012788048,6,13379.421907672999,10437.027759847653
"(1, 0, 3)","(0, 0, 0, 0)",0.028540561395045273,0.02087482762317648,150.36703557659217,-0.006705806557954573,0.006705806557954573,18762.532614909833,16980.66055333633,8.581229503009032,-16522.86263202912,16522.86263202912,-158.6178591159596,-157.9119767630184,5,18762.532614909833,16522.86263202912
"(4, 0, 0)","(0, 0, 0, 0)",0.027959364952230267,0.021829153652747756,233.30430855210537,0.007170699623411635,0.007170699623411635,21526.010623225488,18101.843678753314,9.108636003088066,17866.22573718941,17866.22573718941,-151.75206403027843,-151.04618167733724,5,21526.010623225488,17866.22573718941
"(2, 0, 0)","(0, 0, 0, 0)",0.030385336226106643,0.024454697189086983,124.36719959975993,-0.013056765687046399,0.013056765687046399,28166.863448108426,23818.98979833275,11.787896354920624,-23189.63959200449,23189.63959200449,-136.0897333412784,-135.81387127231287,3,28166.863448108426,23189.63959200449
"(1, 1, 0)","(0, 0, 0, 0)",0.031592359412107286,0.02412222868836726,293.7685072547,0.013982015286803803,0.013982015286803803,32873.449699878634,25997.195696938365,12.753869863492548,24722.170623705337,24722.170623705337,-129.341037545653,-129.20467390928937,2,32873.449699878634,24722.170623705337
"(1, 0, 0)","(0, 0, 0, 0)",0.032553766647830266,0.02628483868033767,107.91039055473952,-0.01785970037066195,0.01785970037066195,39151.69866209478,34378.47783497282,17.121324168724836,-33945.74180381528,33945.74180381528,-135.86890174486527,-135.73253810850164,2,39151.69866209478,33945.74180381528
"(0, 0, 4)","(0, 0, 0, 0)",0.03538448828217121,0.028033468656189105,105.62520710166594,-0.020749596210477506,0.020749596210477506,46081.15336488007,41199.35143067717,20.60183003339372,-40855.969788675604,40855.969788675604,-126.28018497107095,-125.57430261812978,5,46081.15336488007,40855.969788675604
"(0, 0, 1)","(0, 0, 0, 0)",0.03505166888785729,0.027341553900541264,100.37627485876692,-0.021165849766207973,0.021165849766207973,47173.80411676855,42361.397712965205,21.2049094847731,-42184.02654606947,42184.02654606947,-99.31045670665186,-99.17409307028822,2,47173.80411676855,42184.02654606947
"(0, 0, 0)","(0, 0, 0, 0)",0.035039142863597855,0.02730161941295447,100.0,-0.021205784253794772,0.021205784253794772,47274.90201498384,42462.52631578955,21.256689477922112,-42297.05263157904,42297.05263157904,-61.108234150902355,-61.06329033067764,1,47274.90201498384,42297.05263157904
"(0, 0, 3)","(0, 0, 0, 0)",0.03634404721375551,0.02786228131208645,101.49068756561033,-0.021634076232857197,0.021634076232857197,48355.10238931825,43602.90727530953,21.851551664983937,-43417.710517357154,43417.710517357154,-119.0613789541651,-118.59626267509533,4,48355.10238931825,43417.710517357154
"(0, 0, 2)","(0, 0, 0, 0)",0.03626549444273011,0.02764680718039594,99.7852509310141,-0.021679817552429596,0.021679817552429596,48474.1262385546,43717.78991768798,21.909527677306688,-43571.4903688685,43571.4903688685,-122.45873513732539,-122.18287306835987,3,48474.1262385546,43571.4903688685
"(4, 0, 2)","(0, 0, 0, 0)",0.03330375095064873,0.026593961769240646,337.4465797029262,0.019885723844809022,0.019885723844809022,55272.926941847254,45143.039435094164,22.223271153422523,44963.95586282935,44963.95586282935,-160.09514561715878,-158.74574802679734,7,55272.926941847254,44963.95586282935
"(2, 1, 0)","(0, 0, 0, 0)",0.03527954793786575,0.02921555810706802,363.1213523629858,0.02213638470437216,0.02213638470437216,57743.60990817875,45416.241363836314,22.18381266528527,45379.886159617505,45379.886159617505,-137.74187521151623,-137.4660131425507,3,57743.60990817875,45379.886159617505
"(3, 0, 4)","(0, 0, 0, 0)",0.03366018776141452,0.026698432671565044,338.611616583965,0.020826633874179,0.020826633874179,61823.11831179123,51864.331727982004,25.672979600016234,51864.331727982004,51864.331727982004,-163.7057854934245,-161.94968793244888,8,61823.11831179123,51864.331727982004
"(2, 0, 4)","(0, 0, 0, 0)",0.03398576333891403,0.02737264985093671,350.11206124081343,0.021401526382553927,0.021401526382553927,62088.00802868059,51541.48591288516,25.44938606359615,51541.48591288516,51541.48591288516,-161.13480460021398,-159.78540700985255,7,62088.00802868059,51541.48591288516
