order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(1, 0, 2)","(0, 0, 0, 0)",0.027189774779929458,0.019989088384712233,194.9614115767183,0.001035601686532686,0.001035601686532686,6301.982527315527,5327.089364552291,2.9093045138274856,-1038.596485364839,1038.596485364839,-152.9878038090152,-152.52268752994542,4,6301.982527315527,1038.596485364839
"(2, 0, 1)","(0, 0, 0, 0)",0.027382615279427917,0.020153221393156662,189.98259586035175,0.00015088907178384476,0.00015088907178384476,6470.759512095446,5464.077764876711,2.9602074784351404,-2735.096159326066,2735.096159326066,-155.2122436365628,-154.747127357493,4,6470.759512095446,2735.096159326066
"(0, 1, 0)","(0, 0, 0, 0)",0.027951856661320242,0.02013271137409318,199.76207263389327,0.0018027878460490957,0.0018027878460490957,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,-121.88965127603117,-121.84470745580646,1,6933.849602129962,2281.997918571142
"(2, 0, 0)","(0, 0, 0, 0)",0.030385336226106643,0.024454697189086983,124.36719959975993,-0.013056765687046399,0.013056765687046399,28166.863448108426,23818.98979833275,11.787896354920624,-23189.63959200449,23189.63959200449,-136.0897333412784,-135.81387127231287,3,28166.863448108426,23189.63959200449
"(1, 1, 0)","(0, 0, 0, 0)",0.031592359412107286,0.02412222868836726,293.7685072547,0.013982015286803803,0.013982015286803803,32873.449699878634,25997.195696938365,12.753869863492548,24722.170623705337,24722.170623705337,-129.341037545653,-129.20467390928937,2,32873.449699878634,24722.170623705337
"(1, 0, 0)","(0, 0, 0, 0)",0.032553766647830266,0.02628483868033767,107.91039055473952,-0.01785970037066195,0.01785970037066195,39151.69866209478,34378.47783497282,17.121324168724836,-33945.74180381528,33945.74180381528,-135.86890174486527,-135.73253810850164,2,39151.69866209478,33945.74180381528
"(0, 0, 1)","(0, 0, 0, 0)",0.03505166888785729,0.027341553900541264,100.37627485876692,-0.021165849766207973,0.021165849766207973,47173.80411676855,42361.397712965205,21.2049094847731,-42184.02654606947,42184.02654606947,-99.31045670665186,-99.17409307028822,2,47173.80411676855,42184.02654606947
"(0, 0, 0)","(0, 0, 0, 0)",0.035039142863597855,0.02730161941295447,100.0,-0.021205784253794772,0.021205784253794772,47274.90201498384,42462.52631578955,21.256689477922112,-42297.05263157904,42297.05263157904,-61.108234150902355,-61.06329033067764,1,47274.90201498384,42297.05263157904
"(0, 0, 2)","(0, 0, 0, 0)",0.03626549444273011,0.02764680718039594,99.7852509310141,-0.021679817552429596,0.021679817552429596,48474.1262385546,43717.78991768798,21.909527677306688,-43571.4903688685,43571.4903688685,-122.45873513732539,-122.18287306835987,3,48474.1262385546,43571.4903688685
"(2, 1, 0)","(0, 0, 0, 0)",0.03527954793786575,0.02921555810706802,363.1213523629858,0.02213638470437216,0.02213638470437216,57743.60990817875,45416.241363836314,22.18381266528527,45379.886159617505,45379.886159617505,-137.74187521151623,-137.4660131425507,3,57743.60990817875,45379.886159617505
"(1, 0, 1)","(0, 0, 0, 0)",0.03591932568526743,0.029297034212100573,372.5237947537785,0.02339067267637291,0.02339067267637291,67181.96213972525,55280.769099235906,27.2414888044277,55280.769099235906,55280.769099235906,-152.82225240586007,-152.54639033689455,3,67181.96213972525,55280.769099235906
"(2, 0, 2)","(0, 0, 0, 0)",0.0387016300617044,0.03173853042383584,391.30190511159725,0.026000196072042785,0.026000196072042785,76188.52838507044,62730.458698836585,30.90383068818012,62730.458698836585,62730.458698836585,-155.62351637497787,-154.91763402203668,5,76188.52838507044,62730.458698836585
"(0, 1, 1)","(0, 0, 0, 0)",0.05014783928007129,0.046047236416123426,542.7266197143729,0.04167432708110271,0.04167432708110271,132370.612026495,104907.58889811518,51.196769699069634,104907.58889811518,104907.58889811518,-154.32575738451638,-154.18939374815275,2,132370.612026495,104907.58889811518
"(2, 1, 1)","(0, 0, 0, 0)",0.049641749383725384,0.04564025861013501,541.2242508136236,0.04183109736330905,0.04183109736330905,132969.19418752127,105224.76694732736,51.32913394980548,105224.76694732736,105224.76694732736,-149.4201795481862,-148.95506326911644,4,132969.19418752127,105224.76694732736
"(0, 1, 2)","(0, 0, 0, 0)",0.05010845450299969,0.04623604021252502,545.091504926996,0.04194154258901354,0.04194154258901354,133012.2807947806,104834.58606339057,51.09663011338183,104834.58606339057,104834.58606339057,-151.96512612555978,-151.68926405659425,3,133012.2807947806,104834.58606339057
"(1, 1, 1)","(0, 0, 0, 0)",0.05036878504466409,0.046454933893110374,546.799439157999,0.042065310875368675,0.042065310875368675,133678.0029332991,105483.8767465865,51.42739569924978,105483.8767465865,105483.8767465865,-154.09526842704508,-153.81940635807956,3,133678.0029332991,105483.8767465865
"(1, 1, 2)","(0, 0, 0, 0)",0.051248499803491616,0.046888560539449176,542.3107658208419,0.04211992658808048,0.04211992658808048,134461.26960453315,106709.44467696529,52.09308024234509,106709.44467696529,106709.44467696529,-152.8586519298826,-152.39353565081282,4,134461.26960453315,106709.44467696529
"(2, 1, 2)","(0, 0, 0, 0)",0.05193665172835675,0.04774515600938278,546.8819285584528,0.04281291649426213,0.04281291649426213,136983.25689838035,108123.71465510175,52.71966500707862,108123.71465510175,108123.71465510175,-153.7297855206476,-153.0239031677064,5,136983.25689838035,108123.71465510175
