year,yoy_change,local_median_change,residual_vs_local,rolling_mad,local_score,is_local_outlier
1932,85.0,869.5,-784.5,295.75,-1.789163989850248,False
1933,873.0,866.0,7.0,450.5,0.010480577136491719,False
1934,866.0,869.5,-3.5,569.75,-0.004143483984196326,False
1935,1009.0,868.0,141.0,450.5,0.2111087680350475,False
1936,420.0,870.5,-450.5,516.75,-0.5880256410245032,False
1937,1572.0,868.0,704.0,583.0,0.8144905660363388,False
1938,179.0,868.0,-689.0,583.0,-0.7971363636349964,False
1939,2467.0,866.0,1601.0,689.0,1.5673069666160124,False
1940,868.0,420.0,448.0,704.0,0.429227272726663,False
1941,1003.0,420.0,583.0,1295.0,0.3036552123549779,False
1942,-427.0,868.0,-1295.0,1441.0,-0.6061606523243538,False
1943,-1971.0,868.0,-2839.0,1441.0,-1.3288726578755525,False
1944,-4588.0,868.0,-5456.0,1601.0,-2.2986083697674586,False
1945,-1175.0,868.0,-2043.0,1441.0,-0.9562827897286911,False
1946,4522.0,1003.0,3519.0,1529.0,1.5523646173959764,False
1947,2833.0,1392.0,1441.0,1529.0,0.6356798561146921,False
1948,1787.0,1635.0,152.0,1529.0,0.06705297580113338,False
1949,-1525.0,1787.0,-3312.0,1441.0,-1.5502734212341776,False
1950,3085.0,2135.0,950.0,950.0,0.67449999999929,False
1951,3981.0,2452.0,1529.0,743.0,1.388035666216167,False
1952,1392.0,2135.0,-743.0,431.0,-1.1627691415286248,False
1953,1635.0,2066.0,-431.0,410.0,-0.7090475609738803,False
1954,2135.0,2135.0,0.0,410.0,0.0,False
1955,2463.0,2452.0,11.0,410.0,0.018096341463370497,False
1956,2452.0,2452.0,0.0,410.0,0.0,False
1957,2042.0,2452.0,-410.0,397.0,-0.6965869017614696,False
1958,2066.0,2463.0,-397.0,250.0,-1.0711059999957155,False
1959,3706.0,3691.0,15.0,250.0,0.04046999999983812,False
1960,5494.0,3706.0,1788.0,250.0,4.824023999980705,True
1961,3691.0,4294.0,-603.0,397.0,-1.0244924433223566,False
1962,5676.0,5426.0,250.0,410.0,0.41128048780387494,False
1963,5648.0,5494.0,154.0,397.0,0.26164483627138124,False
1964,4294.0,5648.0,-1354.0,372.0,-2.4550349462299597,False
1965,5426.0,5676.0,-250.0,603.0,-0.2796434494191051,False
1966,6355.0,5676.0,679.0,603.0,0.7595116086222894,False
1967,6737.0,6133.0,604.0,604.0,0.6744999999988832,False
1968,6727.0,6355.0,372.0,619.0,0.40535379644522557,False
1969,6133.0,6355.0,-222.0,679.0,-0.22052871870365165,False
1970,7366.0,6355.0,1011.0,679.0,1.004299705447711,False
1971,4296.0,6727.0,-2431.0,1000.0,-1.6397094999983601,False
1972,7346.0,6727.0,619.0,1000.0,0.4175154999995825,False
1973,8550.0,6133.0,2417.0,1000.0,1.6302664999983698,False
1974,5133.0,6133.0,-1000.0,1011.0,-0.6671612265077477,False
1975,-2323.0,5770.0,-8093.0,1011.0,-5.399335806127202,True
1976,12483.0,5133.0,7350.0,2417.0,2.051127430698365,False
1977,5063.0,5133.0,-70.0,2417.0,-0.019534546959032048,False
1978,5770.0,5063.0,707.0,2909.0,0.16392970092809764,False
1979,8057.0,5063.0,2994.0,2994.0,0.6744999999997747,False
1980,3633.0,4068.0,-435.0,2994.0,-0.09799849699395523,False
1981,-847.0,5063.0,-5910.0,2909.0,-1.370331729116064,False
1982,2154.0,5063.0,-2909.0,2909.0,-0.6744999999997682,False
1983,-650.0,5521.0,-6171.0,2994.0,-1.3902269539073513,False
1984,9139.0,5521.0,3618.0,2994.0,0.8150771543083449,False
1985,4068.0,5521.0,-1453.0,2909.0,-0.33690220006863636,False
1986,5521.0,5521.0,0.0,2909.0,0.0,False
1987,9592.0,5521.0,4071.0,2909.0,0.9439290134063444,False
1988,9832.0,5521.0,4311.0,2989.0,0.9728235195714376,False
1989,8868.0,7378.0,1490.0,2459.0,0.408704758031554,False
1990,7378.0,6911.0,467.0,1490.0,0.2114036912750259,False
1991,4919.0,7378.0,-2459.0,2459.0,-0.6744999999997257,False
1992,4389.0,7378.0,-2989.0,2459.0,-0.8198782025210167,False
1993,898.0,7135.0,-6237.0,1490.0,-2.823393624159179,False
1994,7591.0,7135.0,456.0,1490.0,0.20642416107368697,False
1995,6911.0,6911.0,0.0,739.0,0.0,False
1997,10266.0,6475.0,3791.0,1007.0,2.5392547169786104,False
1998,7135.0,6911.0,224.0,1007.0,0.15003773584890762,False
1999,6475.0,6911.0,-436.0,767.0,-0.3834185136892002,False
2000,12036.0,6911.0,5125.0,739.0,4.677689445189881,True
2001,6172.0,6911.0,-739.0,767.0,-0.6498767926979793,False
2002,5468.0,6475.0,-1007.0,1007.0,-0.6744999999993302,False
2003,8829.0,6172.0,2657.0,1007.0,1.7796886792435158,False
2004,4701.0,5468.0,-767.0,2389.0,-0.21655148597730575,False
2005,5327.0,5468.0,-141.0,2657.0,-0.03579394053442386,False
2006,7716.0,5327.0,2389.0,2657.0,0.6064661272109121,False
2007,1420.0,4701.0,-3281.0,3281.0,-0.6744999999997944,False
2008,84.0,3907.0,-3823.0,3512.0,-0.7342293564918183,False
2009,-19122.0,1420.0,-20542.0,3512.0,-3.9452104214111774,True
2010,9970.0,752.0,9218.0,3620.0,1.7175527624304647,False
2011,3907.0,84.0,3823.0,3728.0,0.6916881706006728,False
2012,-6572.0,-3060.0,-3512.0,3775.5,-0.6274252416896763,False
2013,-9932.0,-6204.0,-3728.0,3823.0,-0.6577389484696161,False
2014,-6204.0,-6388.0,184.0,3775.5,0.03287193749171424,False
