date,values
1983-01-31,5572.3
1983-02-28,5565.55
1983-03-31,5576.85
1983-04-30,5577.3
1983-05-31,5598.85
1983-06-30,5752.55
1983-07-31,5782.2
1983-08-31,5763.0
1983-09-30,5694.6
1983-10-31,5686.85
1983-11-30,5691.6
1983-12-31,5674.15
1984-01-31,5635.55
1984-02-29,5652.6
1984-03-31,5675.7
1984-04-30,5692.25
1984-05-31,5747.05
1984-06-30,5854.15
1984-07-31,5894.8
1984-08-31,5839.4
1984-09-30,5778.15
1984-10-31,5797.75
1984-11-30,5790.7
1984-12-31,5786.3
1985-01-31,5758.6
1985-02-28,5764.75
1985-03-31,5804.75
1985-04-30,5801.35
1985-05-31,5829.75
1985-06-30,5913.7
1985-07-31,5962.0
1985-08-31,5920.25
1985-09-30,5879.1
1985-10-31,5902.3
1985-11-30,5889.95
1985-12-31,5873.9
1986-01-31,5856.1
1986-02-28,5870.8
1986-03-31,5900.1
1986-04-30,5900.6
1986-05-31,5944.3
1986-06-30,6066.2
1986-07-31,6098.75
1986-08-31,6058.4
1986-09-30,5998.0
1986-10-31,6022.4
1986-11-30,6018.7
1986-12-31,5989.95
1987-01-31,5972.55
1987-02-28,5985.35
1987-03-31,6004.45
1987-04-30,6004.1
1987-05-31,6071.05
1987-06-30,6143.55
1987-07-31,6191.25
1987-08-31,6167.5
1987-09-30,6081.35
1987-10-31,6124.25
1987-11-30,6118.3
1987-12-31,6097.8
1988-01-31,6074.55
1988-02-29,6083.9
1988-03-31,6084.65
1988-04-30,6099.8
1988-05-31,6124.45
1988-06-30,6235.65
1988-07-31,6278.05
1988-08-31,6254.4
1988-09-30,6177.3
1988-10-31,6205.95
1988-11-30,6217.2
1988-12-31,6190.8
1989-01-31,6189.55
1989-02-28,6179.5
1989-03-31,6195.35
1989-04-30,6213.0
1989-05-31,6243.45
1989-06-30,6361.75
1989-07-31,6395.2
1989-08-31,6356.6
1989-09-30,6276.5
1989-10-31,6306.25
1989-11-30,6318.4
1989-12-31,6284.9
1990-01-31,6249.5
1990-02-28,6256.0
1990-03-31,6272.9
1990-04-30,6273.65
1990-05-31,6313.95
1990-06-30,6396.85
1990-07-31,6426.35
1990-08-31,6382.6
1990-09-30,6319.0
1990-10-31,6329.5
1990-11-30,6321.8
1990-12-31,6312.35
1991-01-31,6260.0
1991-02-28,6283.6
1991-03-31,6295.15
1991-04-30,6309.15
1991-05-31,6315.75
1991-06-30,6427.95
1991-07-31,6446.55
1991-08-31,6385.65
1991-09-30,6351.45
1991-10-31,6359.1
1991-11-30,6350.05
1991-12-31,6335.6
1992-01-31,6333.55
1992-02-29,6348.55
1992-03-31,6369.1
1992-04-30,6372.75
1992-05-31,6413.95
1992-06-30,6528.6
1992-07-31,6558.4
1992-08-31,6501.95
1992-09-30,6430.5
1992-10-31,6419.9
1992-11-30,6430.9
1992-12-31,6420.95
1993-01-31,6377.45
1993-02-28,6400.85
1993-03-31,6408.95
1993-04-30,6399.15
1993-05-31,6464.55
1993-06-30,6565.8
1993-07-31,6589.75
1993-08-31,6547.7
1993-09-30,6467.0
1993-10-31,6501.1
1993-11-30,6499.55
1993-12-31,6493.1
1994-01-31,6541.45
1994-02-28,6559.5
1994-03-31,6557.35
